hora,p estatica,p total,p dinamica,Velocidad,Caudal
12:22:07 PM,0.0,-6.2,6.2,3.3,
12:22:13 PM,0.0,-6.2,6.2,3.3,
12:22:19 PM,43.4,43.4,0.0,0.0,
12:22:25 PM,713.0,1035.4,322.4,23.9,
12:22:31 PM,694.4,1060.2,365.8,25.4,0.6
12:22:37 PM,589.0,967.2,378.2,25.9,0.6
12:22:43 PM,620.0,998.2,378.2,25.9,0.6
12:22:49 PM,626.2,998.2,372.0,25.7,0.6
12:22:55 PM,620.0,985.8,365.8,25.4,0.6
12:23:01 PM,620.0,998.2,378.2,25.9,0.6
12:23:07 PM,626.2,998.2,372.0,25.7,0.6
12:23:13 PM,626.2,1004.4,378.2,25.9,0.6
12:23:19 PM,675.8,1041.6,365.8,25.4,0.6
12:23:25 PM,632.4,1010.6,378.2,25.9,0.6
12:23:31 PM,632.4,1004.4,372.0,25.7,0.6
12:23:37 PM,644.8,1023.0,378.2,25.9,0.6
12:23:43 PM,644.8,1029.2,384.4,26.1,0.6
12:23:49 PM,644.8,1016.8,372.0,25.7,0.6
12:23:55 PM,644.8,1023.0,378.2,25.9,0.6
12:24:01 PM,644.8,1010.6,365.8,25.4,0.6
12:24:07 PM,644.8,1016.8,372.0,25.7,0.6
12:24:13 PM,644.8,1023.0,378.2,25.9,0.6
12:24:19 PM,651.0,1029.2,378.2,25.9,0.6
12:24:25 PM,651.0,1016.8,365.8,25.4,0.6
12:24:31 PM,651.0,1023.0,372.0,25.7,0.6
12:24:37 PM,651.0,1010.6,359.6,25.2,0.6
12:24:43 PM,644.8,1016.8,372.0,25.7,0.6
12:24:49 PM,644.8,1010.6,365.8,25.4,0.6
12:24:55 PM,644.8,1023.0,378.2,25.9,0.6
12:25:01 PM,644.8,1023.0,378.2,25.9,0.6
12:25:07 PM,644.8,1023.0,378.2,25.9,0.6
12:25:13 PM,651.0,1023.0,372.0,25.7,0.6
12:25:19 PM,644.8,1023.0,378.2,25.9,0.6
12:25:25 PM,651.0,1016.8,365.8,25.4,0.6
12:25:31 PM,644.8,1016.8,372.0,25.7,0.6
12:25:37 PM,644.8,1016.8,372.0,25.7,0.6
12:25:43 PM,644.8,1023.0,378.2,25.9,0.6
12:25:49 PM,644.8,1016.8,372.0,25.7,0.6
12:25:55 PM,644.8,1016.8,372.0,25.7,0.6
12:26:01 PM,644.8,1016.8,372.0,25.7,0.6
12:26:07 PM,651.0,1029.2,378.2,25.9,0.6
12:26:13 PM,644.8,1023.0,378.2,25.9,0.6
12:26:19 PM,651.0,1023.0,372.0,25.7,0.6
12:26:25 PM,651.0,1029.2,378.2,25.9,0.6
12:26:31 PM,651.0,1029.2,378.2,25.9,0.6
12:26:37 PM,651.0,1016.8,365.8,25.4,0.6
12:26:43 PM,651.0,1023.0,372.0,25.7,0.6
12:26:50 PM,651.0,1035.4,384.4,26.1,0.6
12:26:56 PM,638.6,1010.6,372.0,25.7,0.6
12:27:02 PM,644.8,1016.8,372.0,25.7,0.6
12:27:08 PM,638.6,1023.0,384.4,26.1,0.6
12:27:14 PM,644.8,1023.0,378.2,25.9,0.6
12:27:20 PM,644.8,1023.0,378.2,25.9,0.6
12:27:26 PM,638.6,1010.6,372.0,25.7,0.6
12:27:32 PM,651.0,1016.8,365.8,25.4,0.6
12:27:38 PM,644.8,1016.8,372.0,25.7,0.6
12:27:44 PM,644.8,1023.0,378.2,25.9,0.6
12:27:50 PM,644.8,1010.6,365.8,25.4,0.6
12:27:56 PM,644.8,1010.6,365.8,25.4,0.6
12:28:02 PM,644.8,1023.0,378.2,25.9,0.6
12:28:08 PM,644.8,1016.8,372.0,25.7,0.6
12:28:14 PM,644.8,1035.4,390.6,26.3,0.6
12:28:20 PM,644.8,1023.0,378.2,25.9,0.6
12:28:26 PM,644.8,1016.8,372.0,25.7,0.6
12:28:32 PM,644.8,1016.8,372.0,25.7,0.6
12:28:38 PM,644.8,1010.6,365.8,25.4,0.6
12:28:44 PM,644.8,1016.8,372.0,25.7,0.6
12:28:50 PM,644.8,1023.0,378.2,25.9,0.6
12:28:56 PM,644.8,1016.8,372.0,25.7,0.6
12:29:02 PM,644.8,1010.6,365.8,25.4,0.6
12:29:08 PM,638.6,1010.6,372.0,25.7,0.6
12:29:14 PM,644.8,1010.6,365.8,25.4,0.6
12:29:20 PM,644.8,1010.6,365.8,25.4,0.6
12:29:26 PM,644.8,1016.8,372.0,25.7,0.6
12:29:32 PM,644.8,1023.0,378.2,25.9,0.6
12:29:38 PM,644.8,1016.8,372.0,25.7,0.6
